Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
bob-argus,1924,RochesterJeffersons,7,0,0,0,0,0,0,0,0,0,0
bob-argus,1925,RochesterJeffersons,5,0,0,0,0,0,0,0,0,0,0
bob-argus,TOTAL,--,36,0,0,0,0,7,0,0,0,0,0
bob-avellini,1975,ChicagoBears,8,4,-3,-0.8,1,1,0,0,0,0,0
bob-avellini,1976,ChicagoBears,14,18,58,3.2,15,1,0,0,0,0,0
bob-avellini,1977,ChicagoBears,14,37,109,3,21,1,0,0,0,0,0
bob-avellini,1978,ChicagoBears,13,34,54,1.6,10,2,0,0,0,0,0
bob-avellini,1979,ChicagoBears,7,3,10,3.3,5,0,0,0,0,0,0
bob-avellini,1980,ChicagoBears,0,0,0,0,0,0,0,0,0,0,0
bob-avellini,1981,ChicagoBears,9,5,2,0.4,2,0,0,0,0,0,0
bob-avellini,1982,ChicagoBears,2,0,0,0,0,0,0,0,0,0,0
bob-avellini,1983,ChicagoBears,2,0,0,0,0,0,0,0,0,0,0
bob-avellini,1984,NewYorkJets,4,3,-5,-1.7,0,0,0,0,0,0,0
bob-avellini,TOTAL,--,73,104,225,2.2,54,5,0,0,0,0,0
bobby-anderson,1970,DenverBroncos,14,83,368,4.4,0,4,0,0,0,0,0
bobby-anderson,1971,DenverBroncos,13,139,533,3.8,0,3,0,0,0,0,0
bobby-anderson,1972,DenverBroncos,9,72,319,4.4,0,1,0,0,0,0,0
